;Texto;Embedding;Cluster
10;Impacto de la in novación de producto, innovación de  proceso, innovación organizacional y la percepción de la  corrupción, en la rentabilidad empresarial en Colombia   10    Lista de Figuras   Pág.  Figura 1. Modelo de variables ................................ ................................ .........................  33  Figura 2 . Porcentaje de empresas que aumentaron y decrecieron sus ventas  ....................  40  Figura 3 . Porcentaje de empresas que introdujeron procesos nuevos o actividades de  soporte para los procesos significativamente mejorados  ................................ ...................  45  Figura 4 . Gráfico de la variable H1  ................................ ................................ .................  47  Figura 5 . Porcentaje de empresas que consideran la corrupción el mayor obstáculo  ........  49  Figura 6 . Grado en el que la corrupción es un obstáculo  ................................ .................  50;[9.64865  8.921496];3
11;Impacto de la innovación de producto, innovación de proceso,  innovación organizacional y la percepción de la corrupción, en  la rentabilidad empresarial en Colombia   11    Lista de Tablas   Pág.  Tabla 1.  Correlación de variables bajo el enfoque de Pearson  ................................ .........  41  Tabla 2 . Validación ANOVA  ................................ ................................ ..........................  42  Tabla 3 . Coeficientes de la ecuación final  ................................ ................................ ....... 42  Tabla 4 . Prueba T para muestras correlacionadas  ................................ ............................  43  Tabla 5 . Significancia de cada variable  ................................ ................................ ...........  44;[9.362933 8.598286];3
12;Impacto de la innovación de producto, innovación de proceso,  innovación organizacional y la percepción de la corrupción, en  la rentabilidad empresarial en Colombia   12    Introducción     Según la RAE la innovación es la creación o modificación de un producto para  introducirlo en el mercado. Esto se puede extrapolar a los procesos y estructuras  organizacionales de las empresas. Es decir, todo lo anterior es susceptible a modificarse en  aras de mejorarse, o inclusive, inventar algo en procura de mejores rendimientos. (RAE,  2021)   Según el ministerio de ciencias de Colombia, “las actividades innovadoras se  corresponden con todas las operaciones científicas, tecnológicas, organizativas,  financie ras y comerciales que conducen efectivamente, o que tienen por objeto conducir a  la introducción de innovaciones. Algunas de estas actividades son innovadoras en sí  mismas, otras no son nuevas, pero son necesarias para la introducción de innovaciones.  Las actividades de innovación incluyen también a las de I+D que no están directamente  vinculadas a la introducción de una innovación particular”.  (Minciencia , 2022) Entonces ,  la innovación necesita de procesos conjuntos que trabajen por un mismo objetivo el cu al va  a repercutir  en el entorno de la empresa.   Según C. Freeman , quien define la innovación como “la utilización de conocimiento  nuevo para ofrecer un nuevo producto o servicio que desean los clientes”  (Friedman y  Friedman, 1966) , hacen referencia a que el hombre debe utilizar todo su conocimiento para  generar ideas innovadoras acordes con lo que necesitan los usuarios. Es decir, la innovación  es igual a invención más comercialización.;[11.322109 12.929769];2
13;Impacto de la innovación de producto, innovación de proceso,  innovación organizacional y la percepción de la corrupción, en  la rentabilidad empresarial en Colombia   13    Por otra parte, Porter , define la innovación como “u na nueva manera de hacer cosas  (invención) que se comercializan”.  (Porter , 1990 ). Los autores  aquí develados,  hacen énfasis  en ofrecer algo distinto teniendo base el conocimiento, el cual no es muy común que nazca   en países como Colombia, y que son adquiridos tiempo después por el avance tecnológico  o por el posicionamiento de empresas extranjeras en el país. Por ende, un aspecto  es lo hecho  por organizaciones nacionales y otr o, las acciones de las multinacionales extranjeras las  cuales entrarían a disputar de forma competente.   Es en ese orden de nociones que, l a innovación se muestra como un camino ineludible de  transitar para que las empresas obtengan rentabilidades crecientes y a su vez , amplíen sus  líneas de neg ocio por medio de la economía vertical o entrando en otros terrenos  comerciales. Empero,  siendo la innovación una tendencia generalizada, no basta con que  estos procesos sean esporádicos o tímidos.  (Yang, et al., 2020)   Ante todo, hay que sumarle la percepción de corrupción muy latente que hay en  Colombia, donde la gente considera que es muy presente tanto en el ámbito privado como  en el público. La clase empresarial cree que esto es un gran obstáculo para que sus entidades  puedan ser rentables , ya qu e se necesita mucha mediación por el sector público  o desde el  mismo sector privado se busca sacar ventaja con prácticas  como esta.  (Reed, et al., 1993)   Parte importante del desarrollo del presente trabajo es la revisión bibliográfica que  se lleva a cabo, partiendo de los antecedentes y las bases teóricas se puede obtener de igual  manera conceptualizaciones importantes a considerar , tal como la innovación empresarial,  procesos, productos y demás impactos positivos para la cultura organizacional de cualquier   empresa. Teniendo en cuenta lo anterior, en la revisión literaria que abarca los temas de;[10.398452 13.157115];2
14;Impacto de la innovación de producto, innovación de proceso,  innovación organizacional y la percepción de la corrupción, en  la rentabilidad empresarial en Colombia   14    innovación empresarial y en sus enfoques específicos  como la innovación de producto,  innovación de procesos e innovación organizacional, se hace mención que ella es necesaria  para la competitividad de las empresas y el crecimiento en un entorno globalizado y  dinámico. Además las técnicas y la tecnología  usada en los procesos de desarrollo y  fabricación de un producto, y hasta en los servicios prestados, están en const ante cambio  buscando siempre la eficiencia. La revisión literaria sobre la innovación empresarial  coincide en diversos estudios sobre los beneficios que conlleva implementarla en las  empresas, se evidencia que gran parte de autores afirman que en el mundo globalizado y  cambiante, ninguna empresa puede dejar a un lado la innovación. La innovación deja atrás  productos mal diseñados, procesos inadecuados, y también la gestión organizacional  obsoleta. Finalmente para efectos de este estudio, se formulan las sig uientes hipótesis las  cuales se comprueban bajo análisis estadístico en las empresas de Colombia, para saber  cómo impacta en la rentabilidad empresarial de Colombia. De esta manera se diseña un  modelo de variables para ver cómo influyen sobre la rentabilid ad. (Yildirim, 2019)   Partiendo de las informaciones obtenidas por la revisión bibliográfica se procede  a  mantener las siguientes  hipótesis:   Las hipótesis presentadas en este artículo son cuatro: 1) la innovación  de procesos afecta  positivamente la rentabilidad de la empresa. 2) la innovación  de producto afecta  positivamente la rentabilidad de la empresa a mediano y largo plazo. 3) la innovación   organizacional afecta positivame nte la rentabilidad empresarial y 4) la percepción de mucha  corrupción  afecta la rentabilidad empresarial.;[10.470212 11.736836];2
15;"Impacto de la innovación de producto, innovación de proceso,  innovación organizacional y la percepción de la corrupción, en  la rentabilidad empresarial en Colombia   15    Definidas estas hipótesis,  la metodología de investigación  en este artículo  es de enfoque  cuantitativo en el cual se toma como principal instrumento de recolección de datos el  cuestionario del World Bank  del año 2 017 aplicado en Colombia sobre la  manufactura , del  cual se tomaron las preguntas más pertinentes para dar respuesta a los objetivos planteados.   Las respuestas se modelaron en el software estadístico  SPSS  para determinar  si las variables  estudiadas presentan una significancia y una correlación representativa para predecir el  modelo de variables.  (Virgillito, 2017)   Los resultados muestran que las hipótesis  1, 2 y 3 se validan, por lo tanto,  sí afectan  positivamente la rentabilidad de la empresa. Mientras que la hipótesis 4, no presenta  correlación  con la rentabilidad empresarial, es decir, no afecta positiva ni negativamente a  la rentabilidad de la empresa .       Por último se definen las implic aciones de esta investigación , las cuales se agrupan en  dos tipos; académicas y prácticas. Desde el punto de vista práctico, este trabajo permite a  los administradores de empresas o l íderes estrategas, comprender que la innovación  empresarial abarca un con junto de actividades que bien implementadas , tiene efectos  positivos en la rentabilidad. Y desde el punto de vista académico, esta investigación  contribuye a llenar el vacío teórico que se encuentra  sobre la relación de la innovación y la  rentabilidad empr esarial.     Por consiguiente, se espera tener un impacto positivo en los diferentes aspectos  organizacionales, pues, al tener informaciones actuales y verídicas como las que se";[ 9.722795 11.301267];1
16;Impacto de la innovación de producto, innovación de proceso,  innovación organizacional y la percepción de la corrupción, en  la rentabilidad empresarial en Colombia   16    analizarán en el trabajo, permitirá una concientización de los aspectos empresar iales  fundamentales para tener siempre en cuenta, por tanto, tener pleno conocimientos de los  aspectos mencionados, será fundamental para desarrollar futuras decisiones que incidan  significativamente desde la parte gerencial.          Planteamiento del problema     La innovación es uno de los principales motores de desarrollo de las economías  modernas, a través de la innovación, las naciones sientan las bases para alcanzar tasas de  crecimiento sostenidas de largo alcance y generan resiliencia ante fluctuaciones   económicas ocasionadas por excesiva dependencia en los bienes de producción primaria  (Gómez y Mitchell, 2014).   En la revisión literaria, se encuentra que la innovación empresarial , tanto en  procesos, como producto y organizacional genera n impactos positivos en la rentabilidad  del negocio.    Según CESE (2019) en su artículo : ¿Emprendimiento innovador? ¿Qué es? ¿Cómo  se logra?, el emprendimiento innovador es “el inicio de un nuevo proyecto o negocio que  adopta ideas nuevas o transformadoras que hacen que en nuevo proyecto se destaque de  su competencia” . La competencia entonces se hace indispensable para que la oferta  empresarial esté abocada a mejorar sus productos y servicios para mantenerse vigentes en;[10.379703 12.972736];2
17;Impacto de la innovación de producto, innovación de proceso,  innovación organizacional y la percepción de la corrupción, en  la rentabilidad empresarial en Colombia   17    el mercado como también para simplificar y/o sofisticar su estructura de costo. Esto trae  consigo variedad y escogencia para la demanda.   Desde el punto de vista público los esfuerzos han sido insuficientes al interior del  estado y en su relacionamiento con el sector privado, las regiones y la aca demia, esto  debido a que se han orientado en hacer avances en ciencia y tecnología, sin embargo, estos  esfuerzos,  no han sido aplicados al sector productivo empresarial.  (Hoyos y Cabezas,  2014)   Los estudios sobre la innovación empresarial en Colombia se h an abordado desde  puntos de vista macroeconómicos  y de emprendimiento, pero no se han enfocado en los  impactos que pueda tener en la rentabilidad.  (Consejo privado de competitividad , 2020) .  El propósito de este estudio es abordar ese vacío  en la literatura y en las  investigaciones realizadas en Colombia, para conocer qué impacto está n teniendo las  innovaciones  de producto, de procesos y organizacionales en la rentabilidad empresarial.   Pregunta de investigación   ¿Cuál es el impacto que tiene la innovación de producto, innovación de proceso,  innovación organizacional , y la percepción de corrupción , en la rentabilidad empresarial  en Colombia?;[10.012962 11.072963];1
18;Impacto de la innovación de producto, innovación de proceso,  innovación organizacional y la percepción de la corrupción, en  la rentabilidad empresarial en Colombia   18       Objetivos     Objetivo general   Identificar el impacto que tiene la innovación de producto, innovación de proceso,  innovación organizacional , y la percepción de corrupción  en la rentabilidad empresarial en  Colombia.    Objetivos específicos    Analizar  el impacto que tiene la innovación de producto sobre la rentabilidad  empresarial en Colombia.    Evaluar  el impacto que tiene la innovación de proceso  en la rentabilidad empresarial  en Colombia .   Dar cuenta d el impacto que tiene la innovación organizacional  en la rentabilidad  empresarial en Colombia    Comprender  la percepción de corrupción en la innovación empresarial en Colombia.;[10.235288 10.119807];4
19;Impacto de la innovación de producto, innovación de proceso,  innovación organizacional y la percepción de la corrupción, en  la rentabilidad empresarial en Colombia   19    Justificación     La innovación se abre paso con la competencia, la necesidad de permanecer  vigentes en el mercado demanda de procesos que perfeccionen lo que hacen las  organizaciones con aspiraciones de posicionamiento. De acuerdo a ello, la innovación no  se puede presentar, en la época contemporánea como algo  opcional, por el contrario, la  innovación se convirtió en una tarea básica , esto, aunque puede resultar ser claro, no se  desarrolla de la misma manera, al subestimarse la volatilidad de los mercados o por creer  que no es necesario mientras las rentabilidades aparezcan.  (Hoyos y Cabezas, s.f.)   No se puede considerar hasta la fecha que hay muchos estudios relacionados co n la  corrupción y la innovación. Sin embargo, Murphy et al. (1993) , argumentan que los  innovadores pueden padecer de una especie de expropiación por parte de funcionarios del  Estado , los cuales  se aprovechan , para sus intereses , los avances que logran  empr endedores con sus investigaciones, es decir, hay una especie de recelo entre  particulares y gobierno.   Por su parte, Blackburn y Forgues -Puccio (2009) , afirman que el nivel burocrático  puede convertirse en corrupción por la cantidad de trámites  y licencias que necesitan los  innovadores para poner en marcha sus proyectos, esto puede ser aprovechado por  funcionarios para tomarse ideas o hacer parte ellas por el simple hecho de tener una  posición dominante.;[ 9.612672 12.158993];1
20;Impacto de la innovación de producto, innovación de proceso,  innovación organizacional y la percepción de la corrupción, en  la rentabilidad empresarial en Colombia   20    Se está, por ende, en una disyuntiva en donde las inno vaciones necesitan de  certificaciones y permisos del Estado para que la población , en general , cuente con la  confianza que otorga la legalidad, sin embargo,  por otro lado , los empresarios pueden  sentirse amenazados por el hambre burocrático del Estado y se vean obligados a  ceder ante  ellos y ahí se constituye la corrupción. No son muchos los Estados que cuenten con ese  grado de transparencia en donde los empresarios no consideren lobbys o dadivas para  alcanzar o agilizar un trámite  ante entidades gubernamen tales. (Herrera , 2022).   Es aquí en donde se entra  a considerar que la corrupción y el gasto que esto  demanda , va en contravía de la rentabilidad empresarial en el mundo, en donde Colombia,  que cuenta con un Estado con varios esfuerzos empresariales a nive l latinoamericano y  más extenso a nivel internacional,  no logra ser la excepción.  (Castillo y García, 2018)   Si la percepción de corrupción en el país no sólo es en el ámbito político, sino  también en el empresarial, el grado de inversión se puede ver mermado por empresarios  que no conciben asumir gastos adicionales para poner en marcha sus empresas, en un  territorio donde el gravamen de impuestos parece ser accesorio ante exigencias financieras  por fuera de la Ley.   Este trabajo busca , en ese orden de i deas, identificar qu é tanto influye la merma de  la innovación en el país  (Colombia)  a causa de esta nefasta percepción, más allá de la poca  capacidad tecnológica instalada en comparación con otros países y las ventajas tributarias  que algunas economías ofr ecen a cambio de una inversión extranjera directa que desarrolle  sus territorios.  Pero también , es viable y menester, c oncebir que hay factores internos en la  organización que pueden hacer variar la rentabilidad.;[ 9.355205 12.036501];1
21;Impacto de la innovación de producto, innovación de proceso,  innovación organizacional y la percepción de la corrupción, en  la rentabilidad empresarial en Colombia   21    Antecedentes teóricos, rev isión de la literatura y desarrollo de hipótesis   La innovación se define como un componente obligatorio de competitividad que  guía a un nuevo producto o a un nuevo proceso, a un nuevo mercado y nuevos  comportamientos organizacionales en las prácticas de ne gocio . Cuando se habla de  competitividad , esta se vuelve indispensable para el crecimiento y desarrollo de las PYME,  en una sociedad basada en el conocimiento, gracias a la globalización, las empresas se ven  obligadas a adoptar técnicas y tecnologías moder nas e identificar el valor de la  información externa novedosa.   Expósito  y Sanchis -Llopis (2019) en su trabajo expresan  que, la relevancia de su  investigación es especial para los gerentes y tomadores de decisiones de innovación   notaron que esta puede ser manifestada  de cualquier tipo (producto, proceso y  organizacional) influye positivamente en las finanzas y en la operación del desempeño de  las PYME.  Asimismo, la Organización para la Cooperación Económica y Desarrollo  (OECD ) refuerza que los altos niveles  de inversión de las empresas en innovación  determinan altas ventas de innovación y productividad (Gherghina et al, 2019). Este  precepto teórico muestra consonancia y linealidad analítica acerca de la forma en cómo se  pretende entender dicha influencia pos itiva y propositiva de la innovación,   La innovación empresarial genera  efectos positivos en el desempeño empresarial,  tanto en el crecimiento de las ventas como en la productividad, mientras que otros  encuentran efectos negativos en estas mismas dimension es como puede ser la desaparición  de otras empresas que no adoptan medidas innovadoras .;[11.175696 12.767596];2
22;Impacto de la innovación de producto, innovación de proceso,  innovación organizacional y la percepción de la corrupción, en  la rentabilidad empresarial en Colombia   22    La capacidad innovadora de una empresa es clave para lograr una mejora continua  en la calidad de los productos o servicios, mediante la introducción de prácticas  y procesos  de gestión innovadores , esto conlleva a una mejora en la capacidad productiva, lo cual  puede entenderse como un indicador puro del crecimiento empresarial ( Expósito  &  Sanchis, 2019).   Por otro lado , en el estudio de Triguero , en compañía de otro s autores ( 2014 ), se  afirma que la innovación de procesos aumenta el empleo, en las PYMES españolas  mientras que la innovación de producto , no tiene efectos significativos. Explicando esto en  detalle, el aumento de la capacidad productiva de la empresa imp lica un mayor uso de  factores de producción, entre ellos, el talento humano.  Mostrando así que, la innovación  también tiene una manifestación positiva en el área laboral de una empresa, manifestando  de esta forma otro insumo conceptual de este documento.    El avance tecnológico trae consigo una serie de empleos con base tecnológica  inducido para jóvenes por la facilidad que tienen para aprender y adoptar las nuevas  formas de trabajo. Pero también es cierto que están enmarcados en una flexibilidad que no  es propicia a un trabajo decente, estable y bien remunerado, son considerados empleos  transitorios o para adquirir experiencias iniciales en el ámbito laboral (Gualteros, 2011) .;[11.514255 12.491308];2
23;Impacto de la innovación de producto, innovación de proceso,  innovación organizacional y la percepción de la corrupción, en  la rentabilidad empresarial en Colombia   23    Por otro lado, las empresas que se preocupan por las prácticas sostenibles y de  responsabilidad social empresarial (RSE) se ven obligadas a medidas innovadoras . La  innovación tecnológica (tanto de productos como de procesos) tiene un efecto de  mediación en las prácticas de RSE para el desempeño económico (Macharia & Wang,  2020). Estas  prácticas desembocan en productos, servicios y procesos orientados al  desarrollo sostenible bajo los conceptos de ecoeficiencia, producciones limpias y  ecodiseños.  En consonancia con las intencionalidades teóricas aquí presentes, estos autores  dan muestra  de la importancia de relacionar los contextos ambientales actuales pertinentes  en favor de consolidar nuevas ideas en innovación.  (Castaño y Álvarez, 2017)   En la revisión literaria sobre los efectos de la innovación empr esarial, se encuentra  el concep to de destrucción creativa. Destrucción creativa es el dinamizador empresarial  (Montoya, 2013) que hace que el rendimiento de las empresas mejore con la aparición de  nuevos productos y servicios dejando atrás los que se encontraban en el mercado. Los  jóvenes a l tener más apropiación tecnológica tienen ventaja para implementar las nuevas  tendencias del mercado. Esto anterior da muestra de la importancia de destruir lo ya  establecido para poder innovar y crear toda una red de innovación, esto teniendo una  inciden cia mayor en el rango etario de la juventud.  (Montoya y Alberto, 2012);[11.124259 11.863317];2
24;Impacto de la innovación de producto, innovación de proceso,  innovación organizacional y la percepción de la corrupción, en  la rentabilidad empresarial en Colombia   24    En un estudio realizado en empresas de diferentes regiones de Colombia las  empresas asocian la capacidad de innovación con la referente a la redefinición de procesos  productivos clave,  el desarrollo de nuevos productos y la capacidad de gestión del  conocimiento y de la tecnología (Pineda, 2010)  Este autor da cuenta de la trascendencia de  la nueva definición en los procesos propios de la empresa . Por otro lado, Limas (2020) , en  su invest igación sobre la innovación en Colombia, se observó que, en el país, la  innovación es considerada como un factor fundamental para la sostenibilidad y el  fortalecimiento empresarial en mercados competitivos, lo afirman sus dirigentes.  Cuestión  que devela la consonancia con los objetivos aquí planteados, sin embargo, da muestra de la  necesidad en Colombia la innovación se conjuga con la  sostenibilidad y fortalecimiento  empresarial.  (Fracica, 2009)   En ese sentido, la innovación empresari al parte de la investigación y desarrollo  (I+D). La práctica , ha demostrado que el proceso de innovación de un determinado  producto, servicio o nueva tecnología de rendimiento está , indisolublemente conectado a  una intensa  actividad de investigación y desa rrollo al interior  de las empresas (Gherghina  et al, 2019).  Este texto da cuenta de la importante conversación entre la investigación y el  desarrollo, cuestión que logra develar un aspecto fundamental para entender la influencia  de la innovación.;[11.341127 12.064891];2
25;Impacto de la innovación de producto, innovación de proceso,  innovación organizacional y la percepción de la corrupción, en  la rentabilidad empresarial en Colombia   25    Cabe nota r que existen dos tipos de I+D. El primero es la I+D creativa que bajo los  propios métodos y recursos busca poner en marcha nuevos productos y servicios. El  segundo es la I+D de asimilación que comprende , y absorbe los resultados de  investigación externa  (Escorsa y Valls, 2003).  Esta referencia permite colaborar con los  preceptos conceptuales de esta investigación porque dan muestra de la importante mirada a  una doble viabilidad de entender la I+D como motor de influencia de la innovación.   Una sustancial literatura que existe se centra en si los aportes de investigación y  desarrollo y la producción de patentes está asociada con el crecimiento,  predominantemente en los ingresos , muestran que,  la I+D tiene un efecto positivo sobre la  productividad, también e s de considerar que la diferencia entre niveles de gasto en I+D  expresa la condición de liderazgo de las empresas y sectores más avanzados  tecnológicamente . Cuestión anterior que brinda una consonancia vital en este documento,  porque expresa la enorme tare a contemporánea a nivel empresarial y la necesidad  tecnológica existente.  (Sarasa, 1986) .;[11.162368 12.304864];2
26;Impacto de la innovación de producto, innovación de proceso,  innovación organizacional y la percepción de la corrupción, en  la rentabilidad empresarial en Colombia   26    Variables   Visualizando el fenómeno , en donde las empresas son cambiantes de manera  constante , se aborda el concepto de “destrucción creativa” propuesto por Schumpeter   (1942 ). Este autor, pone de manifiesto , concepto “trata de reconocer que la innovación  como factor dinamizador, introducido por las empresas en una dinámica de destrucción  creadora, generará la aparición de nuevos productos que destruyen antiguo s modelos de  organización y producción, e inducirán a adoptar otros que permitan un mejor rendimiento  de las empresas  en el mercado, poder hacer frente a la competencia y mantener liderazgo  en la industria” (Montoya, 2012, p. 214). A partir de todo esto an terior, s e abordarán  las  siguientes variables  conceptuales  para el presente estudio.    Innovación de procesos    Innovación de productos    Innovación organizacional    Percepción de corrupción     Hipótesis H1. La innovación de procesos afecta positivamente la rentabilidad de la  empresa.   Innovación de procesos;[10.452915 11.012777];1
27;"Impacto de la innovación de producto, innovación de proceso,  innovación organizacional y la percepción de la corrupción, en  la rentabilidad empresarial en Colombia   27         Como lo dice Schumpeter (Escorsa y Valls , 2003) ; la innovación de procesos es la  introducción de un nuevo método de producción, es decir, un método aún no  experimentado en la rama de la industria afec tada, que requiere fundamentarse en un  nuevo descubrimiento científico, también puede existir innovación en una nueva forma de  tratar comercialmente un nuevo producto . De allí que surja la urgencia conceptual en esta  investigación por tratar de desarrollar  un músculo teórico que brinde la concepción de  necesidad de la innovación.  (Jaramillo, 2016)   Herstad y Sandven (2019) sugiere n, que las innovaciones de proceso involucran  fundamental mente  cambios en : ""la forma en que se hacen las cosas"" , esto hace que  desencaden en en el aprendizaje y tienen implicaciones para  cambiar sobre una base más  amplia. Desde el punto de vista de Schumpeter, la relación entre el empleo y la innovación  de procesos no es lineal, pero si presenta una estructura dependiente.  Con esto , se  establece una mirada teórica mucho más particular que logre dialogar la realidad  contextual de una empresa con sus relaciones de dependencia en consonancia con el  concepto de innovación.   Por otro lado, la innovación de procesos presenta las siguientes  características   (Corma, 2011) :   Creación de un nuevo proceso    Introducción de una nueva materia prima en el proceso de fabricación    Nuevo sistema organizativo aplicado a la producción";[11.543446 13.036098];2
